D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{def},Cost_{total},CMO
0.0,-0.2,-0.2,60.19,1,16.0,100.0,15.2,0.0,0.0,145.0,0.0,0.0,30.0,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,22.5625
0.0,0.0,0.0,60.19,2,14.0,100.0,13.3,0.0,35.222222,121.77778,31.7,0.0,30.0,0.0,25.0,20.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,3,52.631579,58.368421,50.0,0.0,0.0,131.77778,0.0,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,4,0.0,74.368421,0.0,0.0,16.666667,130.11111,15.0,0.0,30.0,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,5,0.0,88.368421,0.0,0.0,61.111111,81.0,55.0,0.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,6,15.368421,84.0,14.6,0.0,39.333333,51.666667,35.4,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,7,0.0,100.0,0.0,0.0,16.666667,50.0,15.0,0.0,30.0,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,8,52.368421,61.631579,49.75,0.0,5.8333333,56.166667,5.25,0.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,9,52.631579,20.0,50.0,0.0,0.0,66.166667,0.0,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,10,16.0,20.0,15.2,0.0,22.0,59.166667,19.8,0.0,30.0,0.0,25.0,10.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,25.0
0.0,0.0,0.0,60.19,11,13.084737,20.915263,12.4305,0.0,31.166667,40.0,28.05,0.0,30.0,14.5195,25.0,10.0,120.0,120.0,0.0,120.0,0.0,662.9875,0.0,662.9875,25.0
9.6805,0.0,9.6805,50.0,12,11.915263,20.0,11.3195,0.0,10.0,40.0,9.0,0.0,30.0,20.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,800.0,0.0,800.0,25.0
