T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{start},Cost_{def},Cost_{t}
1,260.2871895263948,2499.7829661177166,225.49657942603875,0.0,500.00000498551,5000.937033864332,474.5034205839361,0.0,700.0000000099749,700.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
2,318.3458195751107,2499.392921167258,275.46371856123693,0.0,500.0000049855871,5002.01107879684,474.5362814487379,0.0,750.0000000099749,750.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0
3,434.90438442528534,2498.6192653833386,375.4202223940364,0.0,500.0000049857336,5003.432734562808,474.57977761593844,0.0,850.0000000099749,850.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0
4,552.0387893470754,2497.459925741701,475.3660274994399,0.0,500.00000498587747,5005.204074186493,474.6339725105349,0.0,950.0000000099748,950.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0
5,600.0000059999704,2496.163925720131,516.0819386513048,0.0,500.00000499997344,5007.076074190086,474.69124716578517,0.0,990.7731858170899,1000.0,9.2268141829101,1000.0,9.2268141829101,0.0,0.0,9226.8141829101,9226.8141829101
6,600.0000059999704,2494.90392569856,515.9777764087182,0.0,500.00000499997344,5008.8760741936785,474.7463189368455,0.0,990.7240953455637,1100.0,109.27590465443627,1100.0,109.27590465443627,0.0,0.0,109275.90465443628,109275.90465443628
7,600.0000059999704,2493.679925676989,515.8765602634736,0.0,500.00000499997344,5010.604074197271,474.79918783706785,0.0,990.6757481005415,1150.0,159.32425189945863,1150.0,159.32425189945863,0.0,0.0,159324.25189945864,159324.25189945864
8,600.0000059999704,2492.4919256554185,515.7782927974064,0.0,500.00000499997344,5012.260074200863,474.8498538664521,0.0,990.6281466638585,1200.0,209.37185333614147,1200.0,209.37185333614147,0.0,0.0,209371.85333614147,209371.85333614147
9,600.0000059999704,2491.3399256338475,515.6829765198675,0.0,500.00000499997344,5013.844074204454,474.8983170249982,0.0,990.5812935448657,1250.0,259.4187064551343,1250.0,259.4187064551343,0.0,0.0,259418.70645513432,259418.70645513432
10,600.0000059999704,2490.223925612277,515.5906138674288,0.0,500.00000499997344,5015.356074208046,474.94457731270643,0.0,990.5351911801353,1400.0,409.4648088198649,1400.0,409.4648088198649,0.0,0.0,409464.80881986493,409464.80881986493
11,600.0000059999704,2489.1439255907057,515.501207203597,0.0,500.00000499997344,5016.7960742116375,474.9886347295765,0.0,990.4898419331735,1500.0,509.5101580668264,1500.0,509.5101580668264,0.0,0.0,509510.1580668264,509510.1580668264
12,600.0000059999704,2488.0999255691345,515.4147588185306,0.0,500.00000499997344,5018.308074215229,475.0348950172846,0.0,990.4496538358152,1400.0,409.5503461641848,1400.0,409.5503461641848,0.0,0.0,409550.3461641848,409550.3461641848
13,600.0000059999704,2487.0919255475633,515.3312709287695,0.0,500.00000499997344,5019.892074218819,475.08335817583094,0.0,990.4146291046004,1400.0,409.58537089539965,1400.0,409.58537089539965,0.0,0.0,409585.37089539965,409585.37089539965
14,600.0000059999704,2486.1199255259917,515.2507456769665,0.0,500.0000049999735,5021.548074222411,475.134024205215,0.0,990.3847698821814,1300.0,309.6152301178186,1300.0,309.6152301178186,0.0,0.0,309615.23011781863,309615.23011781863
15,600.0000059999704,2485.21992550442,515.1761685509017,0.0,500.0000049999735,5023.276074226002,475.18689310543715,0.0,990.3630616563389,1400.0,409.63693834366126,1400.0,409.63693834366126,0.0,0.0,409636.93834366126,409636.93834366126
16,600.0000059999704,2483.9599254828486,515.0717335660564,0.0,500.0000049999735,5025.0760742295915,475.2419648764973,0.0,990.3136984425537,1600.0,609.6863015574462,1600.0,609.6863015574462,0.0,0.0,609686.3015574462,609686.3015574462
17,600.0000059999704,2482.663925461277,514.9642818238822,0.0,500.0000049999735,5026.948074233182,475.2992395183955,0.0,990.2635213422777,1700.0,709.7364786577223,1700.0,709.7364786577223,0.0,0.0,709736.4786577222,709736.4786577222
18,600.0000059999704,2481.3319254397047,514.8538105121087,0.0,500.0000049999735,5028.892074236772,475.3587170311316,0.0,990.2125275432403,1900.0,909.7874724567597,1900.0,909.7874724567597,0.0,0.0,909787.4724567597,909787.4724567597
19,600.0000059999704,2479.9639254181325,514.7403167357921,0.0,500.0000049999735,5030.908074240361,475.4203974147058,0.0,990.1607141504979,2000.0,1009.8392858495021,2000.0,1009.8392858495021,0.0,0.0,1009839.2858495021,1009839.2858495021
20,600.0000059999704,2478.55992539656,514.6237975169157,0.0,500.0000049999735,5032.996074243951,475.484280669118,0.0,990.1080781860337,1800.0,809.8919218139663,1800.0,809.8919218139663,0.0,0.0,809891.9218139662,809891.9218139662
21,600.0000059999704,2477.119925374988,514.5042497939787,0.0,500.0000049999735,5035.156074247539,475.550366794368,0.0,990.0546165883468,1300.0,309.94538341165327,1300.0,309.94538341165327,0.0,0.0,309945.3834116533,309945.3834116533
22,600.0000059999704,2475.643925353415,514.3816704215709,0.0,500.0000049999735,5037.352074251128,475.61755435503727,0.0,989.9992247766081,1100.0,110.00077522339181,1100.0,110.00077522339181,0.0,0.0,110000.77522339181,110000.77522339181
23,546.3404503905277,2474.3250997317446,468.7653433041818,0.0,453.0943672346575,5039.55976015049,431.23465670579316,0.0,900.0000000099749,900.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0
24,485.0297881491318,2473.190992494143,416.5794385057554,0.0,402.6318259558489,5041.476392814386,383.42056150421956,0.0,800.0000000099749,800.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0
