D_{{s_{BAT_{1}}}{p_Ponta}},C_{{s_{BAT_{1}}}{p_Ponta}},G_{{s_{BAT_{1}}}{p_Ponta}},E_{{s_{BAT_{1}}}{p_Ponta}},D_{{s_{BAT_{1}}}{p_Fora}},C_{{s_{BAT_{1}}}{p_Fora}},G_{{s_{BAT_{1}}}{p_Fora}},E_{{s_{BAT_{1}}}{p_Fora}},Y_{b_{BAT_{1}}},X_{b_{BAT_{1}}},G_{{g_{UHE_{1}}}{p_Ponta}},G_{{g_{UHE_{1}}}{p_Fora}},Y_{g_{UHE_{1}}},X_{g_{UHE_{1}}},G_{{g_{UHE_{2}}}{p_Ponta}},G_{{g_{UHE_{2}}}{p_Fora}},Y_{g_{UHE_{2}}},X_{g_{UHE_{2}}},G_{{g_{UTE_{1}}}{p_Ponta}},G_{{g_{UTE_{1}}}{p_Fora}},Y_{g_{UTE_{1}}},X_{g_{UTE_{1}}},G_{{g_{UTE_{2}}}{p_Ponta}},G_{{g_{UTE_{2}}}{p_Fora}},Y_{g_{UTE_{2}}},X_{g_{UTE_{2}}},G_{{g_{SOL_{1}}}{p_Ponta}},G_{{g_{SOL_{1}}}{p_Fora}},Y_{g_{SOL_{1}}},X_{g_{SOL_{1}}},G_{{g_{EOL_{1}}}{p_Ponta}},G_{{g_{EOL_{1}}}{p_Fora}},Y_{g_{EOL_{1}}},X_{g_{EOL_{1}}},G_{{g_{Def_{1}}}{p_Ponta}},G_{{g_{Def_{1}}}{p_Fora}},Y_{g_{Def_{1}}},X_{g_{Def_{1}}},Ge_{Total}_Ponta,Demand,Ge_{Total}_Fora,Cost_{var},Cost_{inv},CMO,CME
0.0,0.0,0.0,100.0,47.5,0.0,47.5,50.0,1.0,1.0,200.0,54.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,200.0,100,102.375,0.0,50000000.0,,0.0
0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,1.0,350.0,150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.0,150,150.0,0.0,50000000.0,0.0,0.0
0.0,-231.05263,-231.05263,319.5,0.0,0.0,0.0,50.0,0.0,1.0,593.2133,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.16067,200,200.0,0.0,50000000.0,0.0,0.0
0.0,-190.0,-190.0,500.0,0.0,0.0,0.0,50.0,0.0,1.0,600.0,250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410.0,250,250.0,0.0,50000000.0,0.0,0.0
0.0,0.0,0.0,500.0,0.0,0.0,0.0,50.0,0.0,1.0,500.0,300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500.0,300,300.0,0.0,50000000.0,0.0,0.0
0.0,0.0,0.0,500.0,0.0,0.0,0.0,50.0,0.0,1.0,600.0,350.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,600.0,350,350.0,0.0,50000000.0,0.0,0.0
0.0,0.0,0.0,500.0,0.0,0.0,0.0,50.0,0.0,1.0,600.0,400.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650.0,400,400.0,5500000.0,50000000.0,0.0,0.0
52.631579,0.0,52.631579,444.59834,0.0,0.0,0.0,50.0,0.0,1.0,600.0,450.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,752.631579,450,450.0,0.0,60000000.0,25171.62471395881,0.0
157.89474,0.0,157.89474,278.39335,0.0,0.0,0.0,50.0,0.0,1.0,600.0,450.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,857.89474,450,450.0,0.0,60000000.0,25171.62471395881,0.0
216.97368,0.0,216.97368,50.0,0.0,0.0,0.0,50.0,0.0,1.0,600.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,93.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1010.8486800000001,500,500.0,10326250.0,60000000.0,25171.62471395881,0.0
