D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},CMA_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},CMA_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},\Theta_{{CB}_{BAR_{1}}},\Theta_{{CB}_{BAR_{2}}},F_{{LT}_{LINE_{1}}},\Delta_{\Theta_{LT_{LINE_{1}}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},DemandBar_{b_{BAR_{2}}},DeficitBar_{b_{BAR_{2}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{def},Cost_{total},CMO,FC
9.5,0.0,9.5,50.0,1,16.0,100.0,15.2,0.0,9.5,0.0,145.0,0.0,0.0,18.5,20.3,0.0,30.0,25.0,0.0,-0.3525,70.5,0.3525,100.0,20.0,0.0,80.0,0.0,100.0,0.0,203.0,0.0,203.0,10.0,1481.0
0.0,0.0,0.0,50.0,2,31.135135,100.0,29.578378,0.0,9.5,17.135135,139.86486,15.421622,0.0,18.5,30.0,0.0,25.0,20.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,300.0,0.0,300.0,10.0,1181.0
0.0,0.0,0.0,50.0,3,32.378378,100.0,30.759459,0.0,9.5,21.378378,128.48648,19.240541,0.0,18.5,30.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,300.0,0.0,300.0,10.0,881.00013
0.0,0.0,0.0,50.0,4,16.0,100.0,15.2,0.0,9.5,0.0,143.48648,0.0,0.0,18.5,29.8,0.0,30.0,25.0,0.0,-0.4,80.0,0.4,100.0,20.0,0.0,80.0,0.0,100.0,0.0,298.0,0.0,298.0,10.0,583.00016
0.0,0.0,0.0,50.0,5,36.540541,100.0,34.713514,0.0,9.5,22.540541,132.94594,20.286486,0.0,18.5,30.0,0.0,25.0,10.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,300.0,0.0,300.0,10.0,283.00013
0.0,0.0,0.0,50.0,6,33.297291,100.0,31.632427,0.0,9.5,22.297291,120.64865,20.067562,0.0,18.5,28.300011,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,283.00011,0.0,283.00011,10.0,0.0
0.0,0.0,0.0,50.0,7,32.108109,100.0,30.502704,0.0,0.0,16.108109,119.54054,14.497298,0.0,0.0,0.0,0.0,30.0,24.999998,0.0,-0.4,80.0,0.4,100.0,20.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0,8,60.0,85.111109,57.0,0.0,9.5,31.111109,100.42943,27.999998,0.0,18.5,0.0,0.0,25.0,10.0,0.0,-0.48,96.0,0.48,119.9999996499999,24.0,0.0,96.0,0.0,120.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,50.0,9,44.540538,93.444445,42.313511,0.0,9.5,41.873874,68.555556,37.686487,0.0,18.5,0.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,149.99999960000002,30.0,0.0,120.0,0.0,150.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,50.0,10,60.0,58.333334,57.0,0.0,0.0,8.8888889,74.666667,8.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,-0.4,80.0,0.4,100.0,20.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0,11,60.0,43.444445,57.0,0.0,0.0,31.111111,55.555556,28.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0,12,60.0,20.000001,57.0,0.0,0.0,25.555556,40.0,23.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
