T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},Ge_{Total},Demand,Deficit,Cost_{var},Cost_{start},Cost_{def},Cost_{t}
1,462.54726157374415,2499.054829858352,387.217513451073,0.0,355.95809370624903,5002.183721004304,312.78248655890167,0.0,700.0000000099747,700.0,0.0,0.0,0.0,0.0,0.0
2,532.0854513365312,2497.895322233571,403.76296350062495,0.0,374.4480493943118,5004.479215651288,314.79190979292366,0.0,718.5548732935486,750.0,31.445126706451408,0.0,0.0,31445.126706451407,31445.126706451407
3,532.0995649759532,2496.7717637996875,403.6709665979328,0.0,374.46908504799933,5006.7026853790185,314.8489139353812,0.0,718.519880533314,850.0,131.48011946668598,0.0,0.0,131480.11946668598,131480.11946668598
4,532.1141355610035,2495.6841529116973,403.5818855672881,0.0,374.4896936259117,5008.854133369975,314.90406691800666,0.0,718.4859524852948,950.0,231.51404751470525,0.0,0.0,231514.04751470525,231514.04751470525
5,532.1291627319026,2494.632487925892,403.4957227862468,0.0,374.50987544655203,5010.933562804192,314.95736926365595,0.0,718.4530920499028,1000.0,281.54690795009725,0.0,0.0,281546.90795009723,281546.90795009723
6,532.1446461075176,2493.6167671999347,403.4124805514986,0.0,374.52963082294934,5012.940976859207,315.0088214809382,0.0,718.4213020324369,1100.0,381.5786979675631,0.0,0.0,381578.69796756306,381578.69796756306
7,532.1605852853944,2492.636989092937,403.33216107868054,0.0,374.5489600626653,5014.876378709998,315.058424064152,0.0,718.3905851428326,1150.0,431.6094148571675,0.0,0.0,431609.4148571675,431609.4148571675
8,532.1769798417891,2491.693151965536,403.2547665021952,0.0,374.5678634678024,5016.7397715289335,315.10617749322523,0.0,718.3609439954205,1200.0,481.63905600457946,0.0,0.0,481639.05600457947,481639.05600457947
9,532.1938293317045,2490.785254179971,403.1802988750334,0.0,374.5863413350111,5018.531158485711,315.15208223365806,0.0,718.3323811086914,1250.0,531.6676188913086,0.0,0.0,531667.6188913087,531667.6188913087
10,532.2111332889284,2489.91329410016,403.10876016860465,0.0,374.6043939554977,5020.250542747301,315.19613873646597,0.0,718.3048989050706,1400.0,681.6951010949294,0.0,0.0,681695.1010949294,681695.1010949294
11,532.2288912260755,2489.0772700917755,403.040152272572,0.0,374.6220216150309,5021.897927477889,315.23834743812625,0.0,718.2784997106983,1500.0,781.7215002893017,0.0,0.0,781721.5002893017,781721.5002893017
12,532.247102634633,2488.2771805223197,402.9744769946937,0.0,374.64006727126076,5023.617312805186,315.28239692427735,0.0,718.256873918971,1400.0,681.7431260810289,0.0,0.0,681743.1260810288,681743.1260810288
13,532.2657670536571,2487.5130237609555,402.91173606081895,0.0,374.6585306593912,5025.408698856194,315.3282868391246,0.0,718.2400228999436,1400.0,681.7599771000564,0.0,0.0,681759.9771000564,681759.9771000564
14,532.2848840013316,2486.7847981785794,402.85193111451866,0.0,374.67741150948376,5027.272085757153,315.3760168113929,0.0,718.2279479259116,1300.0,581.7720520740886,0.0,0.0,581772.0520740886,581772.0520740886
15,532.3048939722721,2486.128500560308,402.7980241258759,0.0,374.69670955574844,5029.20747522104,315.425586494925,0.0,718.2236106208009,1400.0,681.776389379199,0.0,0.0,681776.389379199,681776.389379199
16,532.3205043066625,2485.1121467448324,402.71448563555566,0.0,374.71642441585914,5031.214849908635,315.4769950401408,0.0,718.1914806756965,1600.0,881.8085193243036,0.0,0.0,881808.5193243036,881808.5193243036
17,532.3356883240449,2484.059738266895,402.6279523219698,0.0,374.7365557860915,5033.294206785759,315.5302419482269,0.0,718.1581942701966,1700.0,981.8418057298032,0.0,0.0,981841.8057298033,981841.8057298033
18,532.3504464441825,2482.9712766597236,402.5384218084811,0.0,374.75710335764404,5035.445542820858,315.5853267047772,0.0,718.1237485132583,1900.0,1181.876251486742,0.0,0.0,1181876.251486742,1181876.251486742
19,532.3647790688273,2481.846763455104,402.4458916300271,0.0,374.77806681664566,5037.668854984952,315.642248779733,0.0,718.0881404097602,2000.0,1281.9118595902398,0.0,0.0,1281911.8595902398,1281911.8595902398
20,532.378686581761,2480.6862001834374,402.3503592328831,0.0,374.7994458441624,5039.9641402515945,315.70100762731477,0.0,718.0513668601978,1800.0,1081.948633139802,0.0,0.0,1081948.6331398021,1081948.6331398021
21,532.3921693488327,2479.4895883738095,402.2518219744057,0.0,374.8212401162046,5042.331395596818,315.76160268595834,0.0,718.0134246603641,1300.0,581.986575339636,0.0,0.0,581986.5753396361,581986.5753396361
22,532.4052277179952,2478.2569295540525,402.150277122775,0.0,374.84323909036556,5044.734618755863,315.82311207527243,0.0,717.9733891980475,1100.0,382.0266108019525,0.0,0.0,382026.6108019525,382026.6108019525
23,532.4178620020044,2476.9882252508723,402.0457218567167,0.0,374.865442597291,5047.173807465706,315.8855354808727,0.0,717.9312573375894,900.0,182.0687426624106,0.0,0.0,182068.7426624106,182068.7426624106
24,532.4300724957216,2475.683476989915,401.9381532652398,0.0,374.8861695370743,5049.360965516343,315.9415034901491,0.0,717.8796567553889,800.0,82.12034324461106,0.0,0.0,82120.34324461107,82120.34324461107
